,file,latitude,longitude,Males,Females,Others
11,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0915.JPG,48.7897,33.1172,0,0,0
12,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0916.JPG,48.2614,32.6344,2,1,0
13,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0917.JPG,47.7193,32.1472,3,1,0
14,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0918.JPG,47.1661,31.6605,0,0,0
15,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0919.JPG,46.612,31.1645,0,0,0
16,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0920.JPG,46.0765,30.6825,0,0,0
17,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0921.JPG,45.8456,30.4713,0,0,0
18,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0922.JPG,44.8567,31.2239,0,0,0
19,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0923.JPG,45.4309,31.7,0,0,0
20,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0924.JPG,45.9674,32.1881,0,0,0
21,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0925.JPG,46.5154,32.6774,0,0,0
22,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0926.JPG,47.0588,33.1661,0,0,0
23,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0927.JPG,47.6031,33.6538,0,0,0
24,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0928.JPG,48.1418,34.1365,0,0,0
25,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0929.JPG,48.3926,34.3643,0,0,0
26,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0930.JPG,46.8935,34.6167,0,0,0
27,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0931.JPG,46.3539,34.1413,0,0,0
28,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0932.JPG,45.2654,33.1602,0,0,0
29,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0933.JPG,44.7321,32.6799,0,0,0
30,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0934.JPG,44.1992,32.1905,0,0,0
31,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 1\DJI_0935.JPG,43.9245,31.9534,0,0,0
32,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0936.JPG,51.9814,33.6876,0,0,0
33,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0937.JPG,51.452,33.2071,0,0,0
34,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0938.JPG,50.904,32.718,0,0,0
35,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0939.JPG,50.3622,32.2312,1,6,1
36,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0940.JPG,49.8184,31.7431,2,3,0
37,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0941.JPG,49.2809,31.2607,4,0,0
38,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0942.JPG,48.7363,30.769,0,0,1
39,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0943.JPG,48.1951,30.2803,0,0,0
40,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0944.JPG,47.6511,29.7928,0,0,0
41,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0945.JPG,47.1572,29.3547,0,0,0
42,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0946.JPG,45.9809,29.9006,0,0,0
43,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0947.JPG,46.5307,30.3857,0,0,0
44,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0948.JPG,47.072,30.8747,0,0,0
45,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0949.JPG,47.6193,31.3622,0,0,0
46,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0950.JPG,48.702,32.3357,5,2,0
47,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0951.JPG,49.2462,32.8252,1,0,0
48,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0952.JPG,49.7913,33.3128,0,0,0
49,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0953.JPG,50.3378,33.802,0,0,0
50,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0954.JPG,50.5726,34.0238,0,0,0
51,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0955.JPG,49.1616,34.3502,0,0,0
52,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0956.JPG,48.6171,33.8752,0,0,0
53,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0957.JPG,48.072,33.3829,0,0,0
54,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0958.JPG,47.5292,32.8927,0,0,0
55,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0959.JPG,46.9908,32.4037,0,0,0
56,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0960.JPG,46.4443,31.9164,0,0,0
57,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0961.JPG,45.9004,31.4291,0,0,0
58,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0962.JPG,45.3639,30.9477,0,0,0
59,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0963.JPG,44.8181,30.4552,0,0,0
60,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0964.JPG,44.8091,30.4473,0,0,0
61,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0965.JPG,43.607,30.9934,0,0,0
62,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0966.JPG,44.1718,31.4755,0,1,0
63,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0967.JPG,44.7168,31.9619,0,0,0
64,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0968.JPG,45.254,32.4483,0,0,0
65,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0969.JPG,45.8044,32.9364,1,0,0
66,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0970.JPG,46.3489,33.4238,0,0,0
67,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0971.JPG,46.8923,33.9121,0,0,0
68,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0972.JPG,47.4347,34.4025,0,0,0
69,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Kontrollfeld\Flug 2\DJI_0973.JPG,47.7402,34.6854,0,0,0
70,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0001.JPG,38.1931,26.0682,0,0,0
71,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0002.JPG,37.5959,25.5954,0,0,0
72,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0003.JPG,37.0103,25.1231,0,0,0
73,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0004.JPG,36.0764,24.379,0,0,0
74,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0005.JPG,34.7291,24.8013,0,0,0
75,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0006.JPG,35.3383,25.2697,0,0,0
76,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0007.JPG,35.9263,25.7398,0,0,0
77,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0008.JPG,36.5201,26.2118,0,0,0
78,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0009.JPG,37.0994,26.6796,0,0,0
79,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0010.JPG,37.6852,27.149,0,0,0
80,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0011.JPG,38.2725,27.6232,0,0,0
81,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0012.JPG,38.859,28.0963,0,0,0
82,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0013.JPG,39.4471,28.5685,0,0,0
83,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0014.JPG,40.0343,29.0376,0,0,0
84,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0015.JPG,40.3593,29.3084,0,0,0
85,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0974.JPG,44.3541,28.0858,0,0,0
86,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0975.JPG,43.1895,27.1196,0,0,0
87,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0976.JPG,42.6041,26.6508,0,0,0
88,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0977.JPG,41.4326,25.7065,10,2,0
89,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0978.JPG,40.8458,25.2371,8,1,0
90,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0979.JPG,40.2601,24.7658,0,0,0
91,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0980.JPG,39.6682,24.2926,0,0,0
92,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0981.JPG,39.088,23.8173,0,0,0
93,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0982.JPG,38.7345,23.5327,0,0,0
94,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0983.JPG,37.3991,23.9553,0,0,0
95,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0984.JPG,37.9913,24.428,0,0,0
96,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0985.JPG,38.5771,24.9,0,0,0
97,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0986.JPG,39.1645,25.3711,0,0,0
98,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0987.JPG,39.749,25.8408,4,2,1
99,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0988.JPG,40.3367,26.3129,4,1,0
100,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0989.JPG,40.9096,26.7768,2,1,0
101,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0990.JPG,41.501,27.2506,0,0,0
102,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0991.JPG,42.0931,27.7238,0,0,0
103,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0992.JPG,42.6794,28.1942,1,1,0
104,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0993.JPG,43.0272,28.4772,0,0,0
105,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0994.JPG,41.7063,28.8798,0,0,0
106,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0995.JPG,41.098,28.4199,0,0,0
107,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0996.JPG,40.5239,27.9481,0,0,0
108,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0997.JPG,39.9375,27.4767,0,0,0
109,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0998.JPG,39.3531,27.0063,0,1,0
110,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_03\Neues Feld\DJI_0999.JPG,38.7682,26.538,0,0,0
111,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_07\Altes Feld\DJI_0001.JPG,51.9683,33.6977,1,0,1
112,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_07\Altes Feld\DJI_0002.JPG,51.4494,33.2131,9,4,0
113,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_07\Altes Feld\DJI_0003.JPG,49.8282,31.7475,0,0,0
114,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_07\Altes Feld\DJI_0004.JPG,49.283,31.2628,0,0,0
115,C:\Users\247404\ownCloud - juan.felipe.escobar.calderon@tiho-hannover.de@sync.academiccloud.de\Fotos Drohne\Kontrollfluege\2024_Dezember_07\Altes Feld\DJI_0005.JPG,48.7409,30.7736,0,0,0
